artist,year,track,album,tags,labelid,url,cluster,distance,bpm_essentia
Various Artists,2016.0,RSTYKAT - 8 Fathoms,Conductive Elements,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/8-fathoms,0,0.2345273842175268,124.99
Various Artists,2015.0,Residual State - Vortex,Integrated Circuits EP,acid house|detroit techno|electronic|techno|acid house|dub techno|jacking techno|minimal techno|underground techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/vortex,2,0.144951234650602,129.91
firstperson,2018.0,Hollow Alert,Nested Worlds,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/hollow-alert,0,0.1532862861157805,128.0
Various Artists,2015.0,Ron S. - RTFM,Discrete Components EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/rtfm,2,0.129061425563197,129.99
Various Artists,2007.0,Ron S. - Rugged Land,AR-009,acid house|detroit techno|electronic|techno|acid|electro|electronic|minimal techno|schranz|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/rugged-land,1,0.2383000404945028,136.91
Various Artists,2015.0,Takkun - TAML01,Discrete Components EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/taml01,0,0.1978704541999493,125.0
Various Artists,2016.0,Untethered - Palpitations,Conductive Elements,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/palpitations,0,0.2178667665003092,122.0
Vincent(US),2018.0,Cadient,Oceanis,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/cadient,2,0.1786193767730734,135.97
Vincent(US),2018.0,Kodos,Oceanis,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/kodos,2,0.1868892132611267,135.99
Vincent(US),2018.0,Tsunamo,Oceanis,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/tsunamo,2,0.2341491572774208,135.97
firstperson,2018.0,Intentions,Nested Worlds,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/intentions,1,0.2018817977293436,128.02
firstperson,2018.0,Read My Mind,Nested Worlds,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/read-my-mind,0,0.2395159742633044,127.99
Cari Lekebusch,2020.0,Knowledge (Una),Knowledge [HYB034],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/knowledge-una,2,0.2483463812706283,131.0
Cari Lekebusch,2020.0,No System 1,No System [HYB033],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/no-system-1,2,0.1454191353918663,128.05
"Benjamin Mull, Cari Lekebusch",2020.0,Benjamin Mull - Jaakiekko,Jaakiekkotuomari [HPX111],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/jaakiekko,2,0.1858657843167341,131.87
"Benjamin Mull, Cari Lekebusch",2020.0,Benjamin Mull - Tuomari,Jaakiekkotuomari [HPX111],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/tuomari,1,0.2332204913777251,127.98
"Benjamin Mull, Cari Lekebusch",2020.0,Jaakiekko (Cari Lekebusch Remix),Jaakiekkotuomari [HPX111],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/jaakiekko-cari-lekebusch-remix,2,0.2151643542863593,131.99
"Benjamin Mull, Cari Lekebusch",2020.0,Tuomari (Cari Lekebusch Remix),Jaakiekkotuomari [HPX111],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/tuomari-cari-lekebusch-remix,1,0.2498523127719076,128.09
Cari Lekebusch,2019.0,Bats In The Bellfry,Spagging [HPX106],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/bats-in-the-bellfry,2,0.1817481524776277,134.02
Cari Lekebusch,2019.0,Coagulate,Jill On The Hill [HPX103],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/coagulate,2,0.1545969865730601,133.85
Cari Lekebusch,2020.0,Eye Sight 1,Eye Sight [HYB031],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/eye-sight-1,1,0.2191530247381189,125.97
Cari Lekebusch,2019.0,Flip A Lid,Corrosive EPS.3 [HPX108],electronic|roland|tb-303|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/flip-a-lid,2,0.2195166285138835,133.91
Cari Lekebusch,2020.0,Funkhaos 2,Funkhaos [HYB028],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/funkhaos-2,0,0.1779172027781656,125.96
Oleg Mass,2019.0,Laufwerk,Matter Of Fact,electronic|techno|Munich,16,https://credo-rec.bandcamp.com/track/laufwerk,1,0.155715628152106,126.96
Cari Lekebusch,2019.0,Jack In The Box,Jack In The Box [HPX102],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/jack-in-the-box,1,0.1791577561616184,131.94
Cari Lekebusch,2019.0,Mind Dive,Mind Dive [HPX104],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/mind-dive,2,0.2184258992649252,133.97
Cari Lekebusch,2019.0,Moonstruck,Corrosive EPS.3 [HPX108],electronic|roland|tb-303|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/moonstruck,2,0.1678124875175033,131.07
